Genera,Phylum
Chitinibacter,Pseudomonadota
Hypericibacter,Pseudomonadota
Rikenellaceae_RC9_gut_group,Bacteroidota
Candidatus_Amoebophilus,Bacteroidota
SWB02,Pseudomonadota
Coriobacteriaceae_UCG-002,Actinomycetota
Nosocomiicoccus,Bacillota
Bacteroidales_RF16_group_genus,Bacteroidota
Haloplasma,Bacillota
Saccharothrix,Actinomycetota
Zavarziniales_genus,Pseudomonadota
Eggerthellaceae_genus,Actinomycetota
SH3-11,Verrucomicrobiota
KD3-10,Myxococcota
Fodinicurvataceae_genus,Pseudomonadota
KF-JG30-C25_genus,Pseudomonadota
Agathobaculum,Bacillota
Treponema,Spirochaetota
Candidatus_Soleaferrea,Bacillota
Crocinitomix,Bacteroidota
Babeliales_genus,Dependentiae
Belnapia,Pseudomonadota
Duganella,Pseudomonadota
Burkholderia-Caballeronia-Paraburkholderia,Pseudomonadota
Nitrosomonadaceae_genus,Pseudomonadota
A0839_genus,Pseudomonadota
UCG-012,Bacillota
Desulfosporosinus,Bacillota
Truepera,Deinococcota
Anoxybacter,Halanaerobiaeota
Microgenomatia_genus,Patescibacteria
Limnochorda,Bacillota
Micavibrionales_genus,Pseudomonadota
Bordetella,Pseudomonadota
BSV26_genus,Candidatus_Kryptonia
Vicingus,Bacteroidota
Janibacter,Actinomycetota
type_III,Bacillota
Izemoplasmatales_genus,Bacillota
Oscillochloris,Chloroflexota
